cate
www.facebook.com
www.google.com.tw
www.youtube.com
mail.google.com
Adult Materials
Advertising
Advocacy Organizations
Alcohol
Alternative Beliefs
Armed Forces
Arts and Culture
Brokerage and Trading
Business
Charitable Organizations
Child Education
Content Servers
Dating
Digital Postcards
Domain Parking
Dynamic Content
Dynamic DNS
Education
Entertainment
Explicit Violence
File Sharing and Storage
Finance and Banking
Folklore
Freeware and Software Downloads
Freeware Downloads
Gambling
Games
General Organizations
Global Religion
Government and Legal Organizations
Hacking
Health and Wellness
Illegal or Unethical
Information and Computer Security
Information Technology
Instant Messaging
Internet Radio and TV
Internet Telephony
Job Search
Lingerie and Swimsuit
Malicious Websites
Marijuana
Meaningless Content
Medicine
Miscellaneous
Newly Observed Domain
News and Media
Newsgroups and Message Boards
Not Rated
Nudity and Risque
Occult
Online Meeting
Other Adult Materials
Peer-to-peer File Sharing
Personal Vehicles
Personal Websites and Blogs
Phishing
Plagiarism
Political Organizations
Pornography
Proxy Avoidance
Real Estate
Reference
Religion
Remote Access
Restaurant and Dining
Search Engines and Portals
Secure Websites
Sex Education
Shopping
Social Networking
Society and Lifestyles
Spam URLs
Sports
Streaming Media
Streaming Media and Download
Tobacco
Travel
Unclassified
Weapons
Weapons (Sales)
Web Analytics
Web Chat
Web Hosting
Web-based Applications
Web-based Email
